atmosphere,city,cleanliness,country,description,distance,facilities,free,kind,location,name,price,rating,rating_cat,reviews,security,staff,value_for_money
8.1,Hanoi,8.7,Vietnam,"Tomodachi House is a Japanese style boutique hotel situated in a stimulating central area of the Old Quarter of Hanoi. It is well recommended for convenient location with very tiny distance to the main sights: just a 10-minute walk to Hoan Kiem lake, a 5-minute drive to Ho Chi Minh Mausoleum as well as Hanoi train station. Please reach us out at No. 5A, Tong  Duy Tan Street, Hoan Kiem District, Hanoi, Vietnam. The hostel also provide TOURS (Ha Long bay, Sapa, Ninh Binh, Mai chau, Ha Giang....) to any palaces in VietNam, Guests can approach a 24 hours front desk with friendly and caring staff to be assisted with directions, tour/trip arrangements, currency exchange service, laundry and ironing services. There is also car/bicycle rental service for guests to get around the city more conveniently. Rooms are clean and fitted with comfortable beds, air-conditioning, a flat-screen cable TV and private bathrooms including a hot shower and toiletries. The hostel is a great choice for travellers interested in discovering the old and amazing Hanoi. Property Policies and Conditions: 1. Check-in Time: from 14:00 2. Check-out Time: till 11:30 3. Both cash and credit card payment methods are acceptable upon arrival at the property. 4. At least 1 day in advance notice for free cancellation.  View House Rules  ",1.1,8.9,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Towels Included, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Cable TV, Card Phones, Ceiling Fan, Common Room, Hair Dryers, Hair Dryers For Hire, Hot Showers, Hot Tub, Key Card Access, Meeting Rooms, Outdoor Terrace, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Towels for hire, Bar, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",Hostel,9.6,Hanoi Tomodachi House,US$6.00,9.0,Superb,776,9.0,9.6,9.3
7.4,Hanoi,9.4,Vietnam,"Come to us to enjoy the benefits of our biggest Chrismast Deals ever. Our cozy and friendly hostel has different room types that perfectly suit for Single, Couple, Family travelers. * Hotel facility is provided sufficiently, include Elevator. * Room features: The room provides Satellite TV, Mini bar, Air-conditioning, Fan, Internet access – wireless, Computer in the lobby (Complimentary), Refrigerator, Desk,  Sitting area, Telephone, Hairdryer, Slippers, Private bathroom with hot shower, bathtub, bathroom amenities, Wake up service/Alarm clock... Superior room with a window, Deluxe room with balcony or Old Quarter view. The room rates are inclusive of daily fruit, juice, coffee, and tea. Free Internet, WiFi be served on all floors.  View House Rules  ",0.5,8.6,"Free City Maps, Free Internet Access, Free WiFi, Towels Included, Air Conditioning, Book Exchange, Cable TV, Card Phones, Ceiling Fan, Cots Available, Elevator, Hair Dryers, Hot Showers, Hot Tub, Iron / Ironing Board, Key Card Access, Microwave, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Luggage Storage, Postal Service, Reception (limited hours), Wake-up calls, Café, Minibar, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",Bed and Breakfast,9.1,Hanoi House Hostel & Travel,US$13.28,8.7,Fabulous,94,9.3,8.6,8.6
8.9,Hanoi,10.0,Vietnam,"Chip’s House provides cozy and clean rooms designed by an artist with hand-painted pictures, vintage details and natural influence. Rooms here have a terrace and lake view, which is perfect oasis to gather for an evening with friends or to escape and take some fresh air away from the hustle and bustle of the city. At Chip's House, the shared place has a cable flat-screen TV, nice tea. 2.3 km from West Lake and 2.1 km from Vietnam Fine Arts Museum. Some attractions near Chip’s House are Quan Thanh Temple, One Pillar Pagoda, Ho Chi Minh Mausoleum, Temple of Literature and Vietnam museum of Ethnology. The nearest airport is Noi Bai International Airport, about 25 km from the accommodation, you can easy to come by taxi or bus. **Things to note & policies** Please send your credit card's information and CVV code with your booking reference to us to guarantee the reservation; Failed to send you CVV code within 12 hours after booking online, your booking will be cancelled directly. The online payment is non-refundable. Cancellation policy: (1) You will be charged the total price of the reservation if you cancel BEFORE 30 days arrival. (2) You will be charged 50% of the total price if you cancel in the OVER 30 days arrival. Check in from: 14:00. Check out before: 12:00. Reception time: 8:00 to 22:00. Payment upon arrival: cash and credit card. Taxes included. Breakfast not included. No curfew. We do not accept customers younger than 18 years old. No smoking. Pets are not allowed.  View House Rules  ",3.2,9.7,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Common Room, Dryer, Hair Dryers, Hot Showers, Iron / Ironing Board, Outdoor Terrace, Parking, Reading Light, Security Lockers, Washing Machine, 24 Hour Security, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Wi-Fi",Hostel,7.9,Chip’s House,US$7.71,9.4,Superb,27,9.9,9.7,9.8
7.2,Hanoi,7.6,Vietnam,"Hay Hostel is situated right in the center of Hanoi, 400 metres from St. Joseph Cathedral. Practically located in the Hoan Kiem district, the property is located 400 metres from Ngoc Son Temple and a 6-minute walk from Thang Long Water Puppet Theater. The property features a shared lounge. At the hostel all rooms have a balcony with a city view. The private bathroom is equipped with a bath or shower and free toiletries. All units in Hay Hostel are fitted with a flat-screen TV and a hairdryer. An Asian breakfast can be enjoyed in the breakfast area. Nonstop assistance is available at the reception, where staff speak English and Vietnamese. Hoan Kiem Lake is 600 metres from the accommodation, while Dong Xuan Market is an 8-minute walk away. The nearest airport is Noi Bai International Airport, 21 km from Hay Hostel  View House Rules  ",0.6,8.2,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Card Phones, Ceiling Fan, Cooker, Dryer, Elevator, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Hot Tub, Iron / Ironing Board, Microwave, Parking, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Currency Exchange, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Tours/Travel Desk, Towels for hire, Wake-up calls, Bar, Cafe, Tea & Coffee Making Facilities",Hostel,9.3,Hay Hostel Hanoi Old Quarter,US$9.00,8.4,Fabulous,158,8.9,8.8,8.6
8.8,Hanoi,9.6,Vietnam,"O Quan Chuong is a historical imprint, a charming place that can't be missed in Hanoi. We hope you will find that beautiful imprint, a touch of Hanoian's culture and memorable experience at our place 'O Quan Chuong Homestay and Coffee'. Rooms equipped with air-conditioning, TV, hotshower and Wifi is available throughout the property. We care into detail in our Indochina design and every single furniture to bring you the most wonderful stay with us. Moreover, please come & join our coffee shop and rooftop to enjoy the beautiful and bustle city's view. Terms & Conditions Check in from 14:00 to 23:00 . Check out before 12:00 . 24 hours reception. Taxes included. Breakfast included. No curfew. Child friendly only if with the guardian check in to private rooms. Non smoking except for specific areas. House rules: Please keep quite from 23:00 - 6:00 Please keep kitchen space clean and tidy after using Please treat our room nicely as your home by not damaging or losing any furniture or things in the homestay owned by the host. Additional fees will be applied for any damage or lost. Please don’t bring any prohibited items (weapons, flammable materials and any illegals articles) to our homestay. Don’t be upset if we may refuse those prohibited items in our homestay as it’s all for safety reason of everyone. Stay requirement: presentation of your ID or passport is required to comply with government regulations.  View House Rules  ",0.8,9.1,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Cooker, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Outdoor Terrace, Self-Catering Facilities, Utensils, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Housekeeping, Luggage Storage, Tours/Travel Desk, Cafe, Wi-Fi",Hostel,9.9,O Quan Chuong Homestay and Coffee,US$5.89,9.4,Superb,16,9.4,9.4,9.5
8.3,Hanoi,8.3,Vietnam,"Hanoi City Backpackers Hostel is ideally located in the very heart of Hanoi Old Quarter, just few minutes walk to the Hoan Kiem Lake, Cathedral, Water Puppet Theatre, Ho Chi Minh Complex, Temple of Literature... There are many highly recommended restaurants, bars, pubs near by. English speaking Reception will help you with tourist information, money exchange. There are several room types available for you to choose from: twin rooms, double rooms, triple rooms and 4, 6, 8 bed mixed dorm. Our special offers​! - FREE breakfast - FREE beer - FREE WiFi - Comfiest bed in Vietnam - 24/7 reception - Friendly Western and Vietnamese staff - Good price for airport transfers - Full selection of tours and transport for a good price - Bike, car and bicycle rental - Lockers ***Property Policies and Conditions*** 1. Check-in: 12:00 – 23:00 Check-out: Before 12:00 noon Earlier check-in is possible without surcharge in case that room is available. If you prefer earlier check in, we recommend reserving for the prior night to guarantee immediate check in. 2. The free luggage storage room is available at our hotel. 3. Cancellation Policy: - Any cancellation received before 1 days (24 hours) prior to arrival date, no fee will be charged. - Late cancellation prior to arrival:  first night fee/ No show charge: full balance  View House Rules  ",0.8,8.2,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Card Phones, Ceiling Fan, Common Room, Hair Dryers, Hot Showers, Hot Tub, Key Card Access, Meeting Rooms, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Bar, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Foosball, Games Room, Wi-Fi",Hostel,9.5,Hanoi City Backpackers Hostel,US$5.20,8.7,Fabulous,547,8.7,9.0,9.0
5.3,Hue,8.0,Vietnam,"Located an 18-minute walk from Notre Dam Cathedral, TOVO Hostel provides accommodations with WIFI for your convenience. The structure of TOVO Hostel is designed by the wide arches, the fresh green color of trees, the sky and the sea, characterized by Mediterranean style that will give you a peaceful resting place, comfortable and close to nature. Wood furniture is the main choice for TOVO Hostel and the smallest details are carefully cared for in order to bring satisfaction to you. **Things to note & policies** Free cancellation: 7 days before the arrival. You will be charged the total price if you cancel in the 7 days before arrival. Check in from: 14:00-0:00 Check out: 05:00-12:00 Payment on arrival: cash and credit card Tax included in room rate Free breakfast included No smoking in the room but have smoking area Pets are not allowed  View House Rules  ",1.2,7.7,"Free Breakfast, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Common Room, Cooker, Fridge/Freezer, Hair Dryers, Hot Showers, Microwave, Reading Light, Security Lockers, Housekeeping, Internet Access, Luggage Storage, Reception (limited hours), Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",Hostel,8.3,TOVO Hostel,US$4.28,7.4,Very Good,11,7.7,7.0,7.7
9.0,Hue,9.0,Vietnam,"Perfectly located in the heart of Hue City. Each room at our homestay is air conditioned and has a flat-screen TV and a private bathroom equipped with a shower. For your convenience, you can find a kettle, fridge, hair-dryer or even a minibar in the room. There are numbers of Street food, restaurant, and Cafe just around the corner. Citadel, Walking street, DongBa Market, Trang Tien Bridge, Hue train station are within walking distance of our homestay. Our homestay is a 3-story building and it is located in a quiet and safe neighborhood. On site, we also provide breakfast and free wifi. Approaching us, you can find different tourist information and different kind of services. We treat our guests as friends and aim to make you pleasure staying. We can speak English, Chinese and Vietnamese Terms and Conditions: Free Cancellation: 1 Days before the arrival without being charged by the property Check in from 1300-2200 Check out Before 1130 Payment on Arrival：Cash and Credit Card, but extra Charge for credit card service fee. Tax Included Breakfast Included No Smoking in the whole hostel Reception working hours 0700-2200  View House Rules  ",0.5,9.0,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Card Phones, Dry Cleaning, Fridge/Freezer, Hair Dryers, Hot Showers, Hot Tub, Parking, Self-Catering Facilities, Airport Transfers, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Minibar, Tea & Coffee Making Facilities, Wi-Fi",Bed and Breakfast,10.0,Hue Sweethouse Homestay,US$9.50,9.4,Superb,5,9.0,10.0,10.0
8.0,Hue,8.3,Vietnam,"Situated right in the city centre but being very quiet, Bonjour hostel has 7 rooms with all modern conveniences (bathroom, WC, cable TV, safe, room service, laundry service) and a free Wi-Fi access point. From here you can reach most destinations by foot (banks, offices, cultural institutions and tourist attractions). Staying here, you will be received the best services and the feeling as being at home. If you want to request something specific, you can do that after booking. The very enthusiastic and helpful staff team will make you comfortable and happy while your staying.. Services provided: Daily maid service Lockers Trouser press (Additional charge) Ticket service Tour desk Currency exchange Dry cleaning (Additional charge) Laundry (Additional charge) Airport shuttle Air conditioning  View House Rules  ",1.4,7.9,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Towels Included, Air Conditioning, Card Phones, Cooker, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Outdoor Terrace, Reading Light, Security Lockers, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Housekeeping, Internet Access, Late check-out, Reception (limited hours), Tours/Travel Desk, Cafe, Tea & Coffee Making Facilities",Hostel,9.7,Bonjour Hostel,US$5.00,8.8,Fabulous,304,9.2,9.6,8.9
8.5,Hue,8.8,Vietnam,"1.2 km from Dong Ba Market, Nam Phuong Riverside Villa is situated in Hue and features air-conditioned rooms. Built in 2013, the property is within 1.4 km of Trang Tien Bridge and a 17-minute walk of Chieu Ung Pagoda. Museum of Royal Antiquities is 1.9 km away. All guest rooms in Nam Phuong Riverside Villa are equipped with a TV. Each room is equipped with a private bathroom and free toiletries, and certain rooms at Nam Phương Riverside Villa have a terrace. All units include a desk. Carta menu, Asian or vegetarian breakfast is available every morning at the property. The restaurant at Nam Phương Riverside Villa specializes in Asian and Vietnamese cuisine. Nam Phương Riverside Villa offers a terrace. You can play darts at this 1-star hotel, and bike hire and car hire are available. Terms and conditions: Free Cancellation:1 Days before the arrival without being charged by the property Check in from 2pm Check out Before 12:00 Noon Payment on Arrival: Cash and Credit Card, but extra Charge for a credit card service fee. Tax Included Breakfast Included No Smoking Age Restriction:18 yrs+ Reception working hours 24  View House Rules  ",1.9,9.3,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Air Conditioning, Card Phones, Hair Dryers, Parking, 24 Hour Reception, Late check-out, Reception (limited hours), Minibar",Hotel,9.0,Nam Phuong Riverside Villa,US$4.50,9.2,Superb,44,8.8,10.0,10.0
9.1,Hue,8.7,Vietnam,"Welcome to Freedom Hostel – professional staff, friendly smiles and hospitality, which will bring you the most comfortable feelings. Based on excellent position and with 4 floors, Freedom Hostel is created with the main purpose of giving you special experience. Especially, friendly staff and shared kitchen is always available 24/24 hours. You will also be able to find travel facilities or booking services like: City tour, DMZ tour… and Daily bus from Hue to Da Nang, Hoi An, Quang Binh, Ninh Binh, Ha Noi. Besides, Motorbike, bicycle rental and laundry services are provided. From Freedom Hostel, you are easy to access various famous and interesting places in Hue, such as: Dong Ba Market (0.9 km); Trang Tien Bridge (1.1 km); Notre Dame Cathedral (1.3 km); An Dinh Palace (1.3 km); Dieu De National Pagoda (1.4 km); Chieu Ung Pagoda (1.5 km); Imperial Citadel (2.4 km); Tinh Tam Lake (2.4 km).  View House Rules  ",1.4,8.6,"Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free Parking, Free WiFi, Towels Included, Adaptors, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Card Phones, Ceiling Fan, Common Room, Cooker, Dishwasher, Dryer, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Iron / Ironing Board, Meeting Rooms, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Internet café, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Cafe, Meals Available, Mini-Supermarket, Restaurant, Tea & Coffee Making Facilities, Vending Machines, Board Games, Games Room, Wi-Fi",Hostel,9.6,Freedom Hostel,US$5.00,9.2,Superb,393,9.2,9.5,9.4
10.0,Hue,10.0,Vietnam,"Hue Sweethouse 2 Homestay is perfectly located in the heart of Hue City with nice river view. Each room at our homestay is air conditioned and has a flat-screen TV and a private bathroom equipped with a shower. For your convenience, you can find a kettle, fridge, hair-dryer or even a minibar in the room. There are numbers of street food, restaurants and cafes just around the corner. Citadel, Walking Street, DongBa Market, TrangTien Bridge, Hue Train Station are within walking distance from our homestay. Our homestay is a 4-story building with rooftop and it is located in a quiet and safe neighborhood. On site, we also provide breakfast and free Wi-Fi. Approaching us, you can find different tourist information and different kind of services. We treat our guests as friends and aim to make you pleasure staying. We can speak English, Chinese and Vietnamese. ***Property Policies & Conditions: 1. Cancellation Policy: 3 days before arrival. 2. Check in from 13:00 to 22:00. 3. Check out before 11:30. 4. Payment upon arrival by cash or credit card, but extra charge is applied for credit card service fee. 5. Taxes: included. 6. Breakfast: included. - Breakfast serves after 07:00. 7. Quiet Hours: after 22:00. 8. No smoking in the whole hostel. 9. No shoes in the house. 10. Reception Working Hours: from 07:00 to 22:00. 11. Child and Extra Bed: (1) Up to two children under 12 years stay free of charge when using existing beds. (2) The maximum number of extra beds in a room is 1.  View House Rules  ",1.7,10.0,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Fridge/Freezer, Hair Dryers, Hot Showers, Reading Light, Airport Transfers, Currency Exchange, Housekeeping, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Wi-Fi",Bed and Breakfast,10.0,Hue Sweethouse 2 Homestay,US$8.25,10.0,Superb,28,10.0,10.0,10.0
7.9,Hue,8.8,Vietnam,"Bon Ami Hostel is located in the heart of tourist centre. From here  you can easy to approach to almost the famous sight-seeing spots, bars, good local and Western restaurants, so on. For your comfortable staying. All of our rooms are equiped with air-conditioning, hot shower, hairdrier, kettle, television, wardrobe,.. Especially, from the windows and lobbies of the rooms you can clearly see the beautiful views of neighbours' gardens. If you arrive at Bon Ami Hostel before the check in time and if your room is available, you may check in early. With the most friendly, helpful, active, knowledgeable and fluent English speaking staffs. We always create the most comfortable and convenient staying for the guests. Free breakfast Free towel 24 hour reception Welcome with tea Serving you is our pleasure.  View House Rules  ",1.4,8.6,"Free Breakfast, Free City Maps, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Cable TV, Ceiling Fan, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Parking, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Cafe, Vending Machines, Wi-Fi",Hostel,9.8,Bon Ami Hostel,US$5.00,9.0,Superb,179,9.3,9.6,9.2
,Hue,,Vietnam,"La Luz Del Sol Homestay is an elegant, unique villa, which is designed by a Western-style architect, and is inspired by Hoi An ancient town. The villa is equipped with smart items, with a touch of luxury, yet optimized to offer you the best values for money. It is hidden in a quiet area but just a few steps away from the best local restaurants and bars in town. Perfume river, walking street, places to chill, etc. everything is within your quick reach.  Clean, comfy, and serene, this place will be your home away from home. ***Property Policies*** Cancellation policy: 3 days  before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Check out from 01:00 to 12:00 . Payment upon arrival by cash. Taxes included. Breakfast not included.  View House Rules  ",2.2,,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Children's Play Area, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Microwave, Outdoor Terrace, Parking, Security Lockers, Washing Machine, Bicycle Hire, Express check-in / out, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Towels for hire, Wi-Fi",Bed and Breakfast,,La Luz Del Sol Homestay,US$5.89,,No Rating,0,,,
2.0,Hue,6.0,Vietnam,"Baloo Hostel is located very close to the center of the ancient capital of Hue. Within a 200-meter radius of the hostel, you will find numerous small restaurants, serving sushi, Turkish kebabs, Vietnamese pork roll and all the food you can think of. If you are willing to stride a few hundred meters further, you will find plenty of bars and restaurants, dedicated to nightlife in Hue. The famous Hue Citadel is also located only 2 km away, and if needed, motorbike rental will be available for longer trips. Baloo is a nice, comfortable and cozy hostel with all the amenities you could ever want, including a bar, kitchen and lounge. There are rooms ranging from classic dorm-style 6 person accommodation to spacious 2 person suites, all of which are spacious and generally more suited towards a more comfortable sleeping experience for our customers in such a noisy and urban area of Hue. During your stay, you can experience the true Vietnamese way of life, as guests are more than welcome to join our family in the daily activity of shopping at the local market. Guests are more than welcome to cook their own meals from the shared kitchen, or join our family for dinner, and learn about the many cultural traditions of Hue. ***Property Policies &Conditions: 1. Cancellation Policy: 1 day before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00 (noon). 4. Payment: Cash or credit card upon checking out. 5. Taxes: included. 6. Breakfast: included. 7. No curfew. 8. No smoking in rooms, but smoking area is provided (out on Balcony). 9. Reception Working Hours: 24 hours. 10. Child and Extra Bed: (1) Children are welcome. (2) No cots or extra beds are available. 11. Pets are not allowed.  View House Rules  ",1.1,2.0,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Cable TV, Common Room, Cooker, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Microwave, Outdoor Terrace, Parking, Reading Light, Security Lockers, Utensils, Washing Machine, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Express check-in / out, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Wake-up calls, Bar, Cafe, Tea & Coffee Making Facilities, Wi-Fi",Hostel,6.0,Baloo Hostel,US$4.75,3.4,Rating,3,4.0,2.0,2.0
9.4,Hue,9.6,Vietnam,"Nano Eco Hostel is located right near the Thuy Tien lake and Thien An hill. It offers accommodations with a private bathroom fitted with a bidet and a hairdryer. Rooms at the hostel also boast pool view. Aiming to reduce human footprint, Nano Eco Hostel is constructed from reused materials. We also try to consume less plastic by providing our guests with drinking glass bottles. We occasionally arrange some events and activities that make your stay in Hue more memorable. Key deposit: on top of the total amount, 100000 VND will be collected as a refundable key and towel deposit. You will receive it back once you return the key and towel as you are checking-out.  View House Rules  ",5.6,9.7,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Towels Included, Air Conditioning, Cable TV, Common Room, Fridge/Freezer, Hair Dryers, Hot Showers, Parking, Reading Light, Security Lockers, Swimming Pool, 24 Hour Reception, Express check-in / out, Housekeeping, Internet Access, Luggage Storage, Meals Available, Restaurant, Tea & Coffee Making Facilities, Pool Table, Wi-Fi",Hostel,8.3,Nano Eco Hostel,US$7.71,9.4,Superb,34,9.8,9.5,9.5
7.4,Hue,8.9,Vietnam,"Welcome to Buncha House. We welcome you and appreciate you spending time to get to know our service. Located in Hue, only a few minutes away from the Perfume River and the Hue Citadel, Buncha House is the excellent value for money. Buncha House is in a convenient position in a quiet street with several tourist information spots, exciting restaurants, bars and shops. The perfection in every detail, the elegant interior decoration and the high quality of comfort and hospitality, are the distinctive features of. All the rooms in Buncha House are fitted with a flat-screen TV with satellite channels. Facilities provided on site include air conditioning, a desk and a private bathroom with a shower, while some rooms have a balcony. An Asian breakfast is served every morning. Bike hire and car hire are available at Buncha House and the area is popular for cycling. Speaking both English and Vietnamese, staff at the reception can help you plan your stay. ***Property Policies & Conditions: 1. Cancellation Policy: 2 days before arrival. 2. Check in from 12:00 to 22:00. 3. Check out before 12:00 (noon). 4. Payment upon arrival by cash or credit card. 5. Taxes: included. 6. Breakfast: not included. 7. No curfew. 8. No smoking in rooms, but designated area is provided. 9. Reception Working Hours: 24 hours.  View House Rules  ",1.1,7.4,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Hair Dryers, Hot Showers, Parking, Reading Light, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Shuttle Bus, Tours/Travel Desk, Wake-up calls, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",Hostel,9.1,Buncha House,US$4.00,8.5,Fabulous,204,8.5,9.8,8.8
8.2,Hue,9.2,Vietnam,"Welcome to SUNNY A Hotel! We welcome you and appreciate you spending time to get to know our service.Located in Hue, only a few minutes away from the Perfume River and the Hue Citadel, is the excellent value for money and refined SUNNY A Hotel, in a convenient position in a quiet street with several tourist information spots, exciting restaurants, bars and shops, only few minutes away from Hue train and bus stations.The perfection in every detail, the elegant interior decoration and the high quality of comfort and hospitality, are the distinctive features of the  View House Rules  ",0.9,8.9,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Breakfast Not Included, Cable TV, Ceiling Fan, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Parking, Reading Light, Safe Deposit Box, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Business Centre, Currency Exchange, Fax Service, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Shuttle Bus, Tours/Travel Desk, Wake-up calls, Café, Minibar, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",Hotel,9.2,Sunny A Hotel,US$6.00,9.1,Superb,191,9.4,9.4,9.2
8.4,Hue,9.5,Vietnam,"Situated in Hue city, Shark Hostel offers accommodation with access to a sun terrace. Make yourself at home in one of the air-conditioned rooms featuring private bathroom. Complimentary free Wi-Fi is available to keep you connected. Shark Hostel has a restaurant serving Argentine, Asian and American cuisine. You can request a vegetarian menu as well. Both a bicycle rental service and a car rental service are provided with additional charge. ***Property Policies & Conditions: 1. Cancellation Policy: 1 day before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00 (noon). 4. Payment upon arrival by cash only. 5. Taxes: included. 6. Free Breakfast. 7. No curfew. 8. No smoking in rooms, but smoking area is provided. 9. Reception Working Hours: 24 hours. 10. Child and Extra Bed: (1) All children are welcome. (2) There is no capacity for extra beds in the room. 11. Pets are not allowed.  View House Rules  ",1.5,9.0,"Free Breakfast, Free City Maps, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Cable TV, Common Room, Fridge/Freezer, Hair Dryers, Hot Showers, Parking, Reading Light, Security Lockers, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Express check-in / out, Housekeeping, Laundry Facilities, Tours/Travel Desk, Cafe, Restaurant, Board Games, Wi-Fi",Hostel,9.8,Shark Hostel,US$3.50,9.3,Superb,141,9.3,9.8,9.6
